age,unit,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 
TOTAL,PC_EMP,AT	4.2 	4.1 	4.1 	4.0 	4.0 	4.2 	4.0 	3.8 
TOTAL,PC_EMP,BE	4.3 b	4.3 b	3.9 	4.0 	4.0 	3.8 	4.0 b	3.8 
TOTAL,PC_EMP,BG	2.7 	2.7 	2.8 	2.8 	2.6 	2.7 	2.6 	2.5 
TOTAL,PC_EMP,CH	4.8 	4.7 	4.8 	4.9 	4.7 	4.8 	4.9 	4.8 
TOTAL,PC_EMP,CY	3.5 	3.5 	3.5 	3.4 b	3.1 	3.3 	3.0 	2.9 
TOTAL,PC_EMP,CZ	3.7 	3.9 	4.1 	3.7 	3.8 	3.9 	3.8 	3.6 
TOTAL,PC_EMP,DE	4.0 	4.0 	4.0 	4.1 	4.1 	4.2 	4.3 b	4.1 
TOTAL,PC_EMP,DK	4.2 	4.3 b	4.4 b	4.6 	4.6 	4.7 	4.7 	4.6 
TOTAL,PC_EMP,EE	5.6 	5.5 	5.3 	5.3 	4.6 	5.6 	5.8 	5.1 
TOTAL,PC_EMP,EL	3.3 	3.2 	3.2 	2.9 	3.2 	3.5 	3.5 	3.1 
TOTAL,PC_EMP,ES	3.5 	3.6 	3.5 	3.4 	3.4 	3.2 	3.1 	3.1 
TOTAL,PC_EMP,EU28	3.8 	3.8 	3.7 	3.7 	3.7 	3.8 	3.8 	3.6 
TOTAL,PC_EMP,FI	4.9 	4.7 	4.8 	5.1 	4.8 	4.8 	5.0 	5.2 
TOTAL,PC_EMP,FR	3.6 	3.5 	3.3 	3.2 	3.4 b	3.5 b	3.3 	3.4 
TOTAL,PC_EMP,HR	3.3 	3.5 	3.1 	3.4 	3.8 	3.4 	3.7 	3.6 
TOTAL,PC_EMP,HU	3.4 	3.3 	3.6 	3.7 	3.7 	3.9 	3.7 	3.7 
TOTAL,PC_EMP,IE	3.4 	3.5 b	3.8 	3.7 	3.8 	3.7 	3.5 	3.6 
TOTAL,PC_EMP,IS	5.5 	5.8 	6.2 	6.0 	5.7 	5.8 	5.4 	5.4 
TOTAL,PC_EMP,IT	3.6 	3.6 b	3.4 	3.5 	3.5 	3.5 	3.6 	3.5 
TOTAL,PC_EMP,LT	4.0 	3.7 	3.6 	4.0 	4.0 	3.8 	3.7 	3.6 
TOTAL,PC_EMP,LU	5.3 	4.6 	5.1 	5.0 b	6.0 	5.2 	5.3 	5.2 
TOTAL,PC_EMP,LV	3.5 	4.0 	4.5 	4.0 	3.9 	3.9 	3.6 	3.4 
TOTAL,PC_EMP,ME	4.0 	3.6 	3.3 	3.3 	4.1 	4.6 	3.6 	4.1 
TOTAL,PC_EMP,MK	3.1 	3.2 	3.2 	3.0 	3.2 	3.4 	4.0 	3.9 
TOTAL,PC_EMP,MT	5.2 	4.8 	4.3 	4.5 	4.5 	4.2 	4.1 	3.9 
TOTAL,PC_EMP,NL	4.6 	4.5 	4.5 	4.6 	4.6 	4.7 b	4.5 	4.4 
TOTAL,PC_EMP,NO	3.8 	3.9 	3.9 	3.9 	4.0 	4.4 	4.6 	4.5 
TOTAL,PC_EMP,PL	3.6 	3.5 	3.4 	3.3 	3.2 	3.2 	3.2 	3.2 
TOTAL,PC_EMP,PT	3.2 	3.1 	3.0 	3.1 	3.0 	2.9 	2.8 	2.8 
TOTAL,PC_EMP,RO	1.6 	1.6 	1.6 	1.5 	1.5 	1.4 	1.5 	1.4 
TOTAL,PC_EMP,RS	3.0 	3.1 	3.1 	3.2 b	3.6 b	3.6 	1.9 	2.1 
TOTAL,PC_EMP,SE	4.6 	4.8 	5.0 	4.7 	4.7 	4.8 	4.8 	4.7 
TOTAL,PC_EMP,SI	4.7 	4.7 	4.6 	4.5 	4.7 	5.0 	4.6 	4.3 
TOTAL,PC_EMP,SK	2.8 	2.9 	2.5 	2.5 	2.6 	2.2 	2.6 	2.6 
TOTAL,PC_EMP,TR	2.3 	2.3 	2.2 	2.2 	2.3 b	2.2 	2.1 	2.2 
TOTAL,PC_EMP,UK	4.5 	4.7 	4.6 	4.6 	4.5 	4.5 	4.5 	4.3 
TOTAL,THS_PER,AT	180.3 	174.7 	171 	164.3 	163.8 	173.9 	164.3 	155.1 
TOTAL,THS_PER,BE	204.6 b	197.8 b	179.4 	181.5 	183.8 	169.9 	182.6 b	169.4 
TOTAL,THS_PER,BG	84.3 	85.1 	84.3 	83.9 	78.2 	78.2 	76.7 	75 
TOTAL,THS_PER,CH	223.2 	220 	221 	224.5 	210.1 	210.9 	212.8 	207.2 
TOTAL,THS_PER,CY	13.8 	13.4 	12.6 	12.1 b	11.1 	11.9 	11.5 	11.5 
TOTAL,THS_PER,CZ	197.5 	204.3 	210.2 	187 	191.2 	191.4 	184.2 	176.9 
TOTAL,THS_PER,DE	1661.3 	1663.7 	1656.5 	1643.5 	1642.2 	1660 	1689.5 b	1573.2 
TOTAL,THS_PER,DK	119.3 	122 b	125.6 b	126.1 	123.5 	125 	125.9 	123.1 
TOTAL,THS_PER,EE	37.2 	35.9 	34.2 	33.7 	28.9 	34.7 	35.5 	30.5 
TOTAL,THS_PER,EL	124.7 	120.5 	118.2 	103.9 	112.9 	121.8 	128.5 	126.8 
TOTAL,THS_PER,ES	677.7 	671.6 	634.3 	607.4 	583.4 	552.5 	551.5 	563.3 
TOTAL,THS_PER,EU28	8736.1 	8658.7 	8405.9 	8259.3 	8165.5 	8096.9 	8114.2 	7852.4 
TOTAL,THS_PER,FI	125.7 	115.5 	116.8 	123.3 	118.5 	118.9 	124.8 	128.9 
TOTAL,THS_PER,FR	965.7 	939.4 	889.1 	848.5 	884.6 b	894.9 b	863.2 	884.8 
TOTAL,THS_PER,HR	54.2 	57.5 	48.7 	53.7 	59.3 	52.3 	57.6 	58.1 
TOTAL,THS_PER,HU	150.1 	147.1 	157.1 	155.5 	149.9 	151.2 	143.1 	139.9 
TOTAL,THS_PER,IE	77 	77.3 b	80.5 	76.2 	75.6 	72.6 	66.1 	67.5 
TOTAL,THS_PER,IS	10.8 	11.2 	11.9 	11 	10.1 	10 	9.1 	9 
TOTAL,THS_PER,IT	830.7 	825.5 b	765.9 	785.7 	781.4 	784.3 	812.7 	783.1 
TOTAL,THS_PER,LT	55.5 	49.8 	48.9 	53.3 	53.1 	49.1 	47.5 	45.6 
TOTAL,THS_PER,LU	14.9 	12.4 	13.2 	12.9 b	14.7 	12.4 	12.6 	11.8 
TOTAL,THS_PER,LV	32 	36 	40.1 	36.2 	34.7 	34.7 	31.6 	29.1 
TOTAL,THS_PER,ME	9.5 	8.2 	7.3 	7.3 	8.9 	9.3 	7.2 	7.9 
TOTAL,THS_PER,MK	23.2 	23.9 	22.9 	21.1 	22 	23 	26.1 	24.9 
TOTAL,THS_PER,MT	12.1 	10.6 	8.9 	9 	8.5 	7.6 	7.1 	6.5 
TOTAL,THS_PER,NL	408.4 	390.2 	378.3 	382.6 	381.2 	386.1 b	376.1 	366.1 
TOTAL,THS_PER,NO	101.4 	102.2 	102.5 	102.5 	105.5 	113.9 	119.3 	113.1 
TOTAL,THS_PER,PL	586 	569.2 	544.4 	530.5 	508.2 	492.6 	497.6 	493.1 
TOTAL,THS_PER,PT	158.1 	145.6 	139.4 	142.3 	135.8 	127.6 	128.9 	133.7 
TOTAL,THS_PER,RO	141 	141.1 	133.7 	126.1 	130.5 	116.3 	131.9 	117.2 
TOTAL,THS_PER,RS	85.5 	86.9 	84.1 	82.7 b	92.3 b	82.2 	41.3 	46.8 
TOTAL,THS_PER,SE	234.9 	242.5 	243.1 	229.6 	224.5 	225 	223 	219.6 
TOTAL,THS_PER,SI	46.5 	45.4 	42.3 	41.6 	42.8 	44.9 	42.8 	40.6 
TOTAL,THS_PER,SK	71.6 	72.6 	62.1 	60.9 	62 	52.3 	59.4 	60.4 
TOTAL,THS_PER,TR	659.2 	644.7 	607 	591.7 	591.2 b	566 	517.5 	522.2 
TOTAL,THS_PER,UK	1471.2 	1491.9 	1467.3 	1448.1 	1381.1 	1354.6 	1338 	1261.2 
Y15-29,PC_EMP,AT	4.0 	4.0 	3.4 	3.0 	3.7 	4.4 	3.6 	3.4 
Y15-29,PC_EMP,BE	4.2 b	4.3 b	3.9 	3.7 	3.8 	3.3 	4.0 b	3.4 
Y15-29,PC_EMP,BG	2.4 	2.4 	3.2 	3.3 	2.7 	2.6 	2.8 	3.1 
Y15-29,PC_EMP,CH	4.0 	4.0 	4.3 	4.5 	3.9 	3.5 	3.9 	3.9 
Y15-29,PC_EMP,CY	3.1 	3.9 	4.0 	3.4 b	2.7 	2.8 	2.8 	2.5 
Y15-29,PC_EMP,CZ	3.4 	4.0 	3.7 	3.4 	3.8 	4.2 	3.6 	3.5 
Y15-29,PC_EMP,DE	3.5 	3.5 	3.5 	3.5 	3.6 	3.6 	3.8 b	3.7 
Y15-29,PC_EMP,DK	3.9 	4.0 b	4.2 b	4.4 	4.3 	4.2 	4.1 	4.2 
Y15-29,PC_EMP,EE	7.4 	5.8 	5.7 	4.6 	5.3 	6.4 	6.6 	5.1 
Y15-29,PC_EMP,EL	3.5 	3.2 	2.7 	3.1 	3.0 	3.6 	3.4 	2.3 
Y15-29,PC_EMP,ES	4.2 	4.0 	3.7 	3.4 	3.5 	3.0 	3.4 	3.6 
Y15-29,PC_EMP,EU28	3.7 	3.8 	3.6 	3.5 	3.6 	3.5 	3.7 	3.5 
Y15-29,PC_EMP,FI	4.2 	4.0 	3.9 	4.2 	4.2 	4.2 	4.7 	4.6 
Y15-29,PC_EMP,FR	3.3 	3.5 	3.2 	2.9 	3.3 b	3.6 b	3.6 	3.3 
Y15-29,PC_EMP,HR	2.7 u	3.4 	2.6 u	2.8 u	4.1 	3.1 u	3.6 u	2.6 u
Y15-29,PC_EMP,HU	3.9 	3.3 	3.5 	3.5 	3.8 	3.5 	4.1 	3.6 
Y15-29,PC_EMP,IE	2.7 	2.8 b	3.5 	3.3 	3.5 	3.0 	3.0 	3.2 
Y15-29,PC_EMP,IS	3.8 	3.9 	5.3 	5.9 	5.0 	4.5 	4.9 	4.9 
Y15-29,PC_EMP,IT	3.5 	3.7 b	3.3 	3.5 	3.1 	3.0 	3.3 	3.1 
Y15-29,PC_EMP,LT	4.6 	3.3 	3.4 	4.3 	3.9 	3.2 	3.9 	3.7 u
Y15-29,PC_EMP,LU	4.4 	3.0 	4.3 	4.0 b	4.1 	4.1 	4.1 	4.5 
Y15-29,PC_EMP,LV	4.5 	5.5 	6.2 	5.1 	4.4 	4.0 	3.5 	4.1 
Y15-29,PC_EMP,ME	4.3 	4.6 	: u	2.8 u	4.6 	6.0 	4.3 u	4.3 u
Y15-29,PC_EMP,MK	3.5 	3.4 	3.5 	3.9 	2.9 	4.1 	4.6 	4.6 
Y15-29,PC_EMP,MT	4.5 	3.8 	3.1 	4.6 	4.6 	4.2 	4.2 	4.5 
Y15-29,PC_EMP,NL	4.4 	4.4 	3.9 	4.0 	4.0 	4.0 b	4.3 	4.4 
Y15-29,PC_EMP,NO	3.0 	3.3 	3.3 	3.2 	3.8 	4.3 	4.3 	4.1 
Y15-29,PC_EMP,PL	3.8 	3.6 	3.4 	3.4 	3.3 	3.5 	3.7 	3.8 
Y15-29,PC_EMP,PT	4.3 	3.6 	3.5 	4.3 	3.2 	3.1 	3.1 	3.2 
Y15-29,PC_EMP,RO	1.5 	1.7 	1.9 	1.9 	1.9 	1.8 	1.5 	1.7 
Y15-29,PC_EMP,RS	3.2 	3.3 	3.2 	3.4 b	3.4 b	3.0 	1.4 u	2.1 u
Y15-29,PC_EMP,SE	3.9 	4.3 	4.4 	4.3 	4.3 	4.4 	4.3 	4.2 
Y15-29,PC_EMP,SI	5.0 	4.0 	3.3 	4.8 	4.1 	5.0 	4.2 	4.9 
Y15-29,PC_EMP,SK	2.6 	2.5 	2.3 	2.4 	2.7 	2.5 	2.6 	2.5 
Y15-29,PC_EMP,TR	2.3 	2.3 	2.5 	2.5 	2.4 b	2.3 	2.2 	2.5 
Y15-29,PC_EMP,UK	4.1 	4.6 	4.4 	4.1 	4.2 	3.8 	4.0 	3.8 
Y15-29,THS_PER,AT	38 	37.8 	32.6 	28.4 	35 	41.9 	35.2 	33.1 
Y15-29,THS_PER,BE	36.9 b	36.3 b	32.6 	31.5 	31.7 	28 	34.6 b	30.1 
Y15-29,THS_PER,BG	10.5 	11.3 	14.2 	15.4 	12.7 	12.1 	13.8 	15.4 
Y15-29,THS_PER,CH	42 	42 	45 	47.3 	39.9 	35.8 	40.1 	40.2 
Y15-29,THS_PER,CY	2.7 	3.1 	3 	2.5 b	2.2 	2.2 	2.4 	2.2 
Y15-29,THS_PER,CZ	27.3 	32.8 	30 	28 	31 	34.3 	29.3 	29.2 
Y15-29,THS_PER,DE	283 	286.4 	278.4 	269.7 	275.9 	281.7 	292.3 b	290.2 
Y15-29,THS_PER,DK	27.6 	27.5 b	29.4 b	28.8 	27.3 	26.2 	25.3 	26.1 
Y15-29,THS_PER,EE	9.4 	7.5 	7.1 	5.8 	6.4 	7.8 	8.1 	6.3 
Y15-29,THS_PER,EL	17 	15.2 	13.1 	14.8 	13.9 	16.1 	17.9 	14.4 
Y15-29,THS_PER,ES	111.3 	101.7 	89.8 	82 	82.9 	71.1 	89.4 	109.9 
Y15-29,THS_PER,EU28	1561.9 	1599 	1504.4 	1444.6 	1456.7 	1424.6 	1503.1 	1495.3 
Y15-29,THS_PER,FI	22.1 	20.8 	20 	21.1 	21.5 	22 	24.8 	23.9 
Y15-29,THS_PER,FR	167.1 	174.7 	155.5 	143.7 	163.7 b	175.9 b	174.3 	166.1 
Y15-29,THS_PER,HR	7.9 u	10.1 	7.5 u	7.3 u	10.8 	7.5 u	9.4 u	7.4 u
Y15-29,THS_PER,HU	29.8 	25.7 	26.4 	25.2 	26.7 	22.7 	25.4 	22.4 
Y15-29,THS_PER,IE	12.8 	12.9 b	16.2 	14.3 	14.5 	12.6 	12.7 	14.4 
Y15-29,THS_PER,IS	2 	2 	2.7 	2.8 	2.3 	2 	2.1 	2.1 
Y15-29,THS_PER,IT	98.7 	102.8 b	91.1 	92.2 	81.1 	82.3 	99 	97.3 
Y15-29,THS_PER,LT	10.8 	7.9 	8.4 	10.7 	9.7 	7.6 	8.8 	7.7 u
Y15-29,THS_PER,LU	2.4 	1.6 	2.2 	2.1 b	1.7 	1.6 	1.7 	1.8 
Y15-29,THS_PER,LV	7 	9.1 	10.6 	9.1 	7.9 	7.3 	6.2 	7.3 
Y15-29,THS_PER,ME	2 	2.2 	: u	1.3 u	1.9 	2.4 	1.6 u	1.5 u
Y15-29,THS_PER,MK	4.4 	4.4 	4.3 	4.9 	3.6 	5.1 	5.7 	5.6 
Y15-29,THS_PER,MT	2.9 	2.3 	1.7 	2.5 	2.4 	2.1 	2.1 	2.2 
Y15-29,THS_PER,NL	99.8 	97.9 	83.7 	83.6 	82.4 	81.7 b	89.1 	91.5 
Y15-29,THS_PER,NO	18.7 	20.1 	19.7 	19.3 	22.7 	26.1 	25.9 	23.8 
Y15-29,THS_PER,PL	116.8 	111.5 	107 	104.2 	102.9 	109.8 	120.9 	126.6 
Y15-29,THS_PER,PT	31.3 	25.8 	23.5 	28.3 	20.8 	20.1 	22 	25.2 
Y15-29,THS_PER,RO	21.3 	25.3 	28.4 	28.8 	29.2 	26.1 	22.3 	25.4 
Y15-29,THS_PER,RS	13.2 	13.5 	12.6 	12.7 b	12.3 b	9.1 	4.4 u	6.3 u
Y15-29,THS_PER,SE	44 	47.2 	47.5 	44.8 	44.1 	43.7 	41.3 	41.1 
Y15-29,THS_PER,SI	8 	6.5 	4.9 	7.3 	6.1 	7.6 	6.9 	8.7 
Y15-29,THS_PER,SK	11.8 	11.6 	10.4 	10.9 	11.5 	10.7 	11.3 	11.2 
Y15-29,THS_PER,TR	181.3 	179.3 	191.8 	188.7 	181.2 b	169.9 	159.7 	179 
Y15-29,THS_PER,UK	303.8 	345.7 	329.2 	301.4 	300.8 	261.7 	276.5 	258.1 
Y30-39,PC_EMP,AT	5.0 	4.6 	4.8 	4.8 	4.1 	4.3 	5.0 	4.3 
Y30-39,PC_EMP,BE	4.6 b	4.8 b	4.1 	4.5 	4.6 	4.6 	4.5 b	4.1 
Y30-39,PC_EMP,BG	3.0 	2.9 	2.8 	2.9 	2.9 	3.0 	3.0 	2.8 
Y30-39,PC_EMP,CH	5.4 	5.4 	5.7 	5.5 	5.3 	4.9 	5.3 	5.4 
Y30-39,PC_EMP,CY	4.1 	3.9 	3.6 	3.0 b	3.0 	2.9 	2.8 	3.1 
Y30-39,PC_EMP,CZ	4.3 	4.6 	4.5 	4.3 	3.9 	4.1 	3.7 	3.5 
Y30-39,PC_EMP,DE	4.2 	4.2 	4.3 	4.5 	4.5 	4.7 	4.8 b	4.6 
Y30-39,PC_EMP,DK	4.9 	4.8 b	5.6 b	5.7 	5.0 	5.5 	5.5 	5.4 
Y30-39,PC_EMP,EE	6.1 	5.6 	6.3 	6.4 	4.7 	6.0 	5.3 	4.5 
Y30-39,PC_EMP,EL	3.6 	3.8 	4.0 	3.4 	3.4 	4.0 	4.0 	3.9 
Y30-39,PC_EMP,ES	3.8 	4.0 	3.8 	3.8 	4.1 	3.9 	3.6 	3.4 
Y30-39,PC_EMP,EU28	4.1 	4.1 	4.1 	4.1 	4.1 	4.2 	4.1 	4.0 
Y30-39,PC_EMP,FI	5.7 	5.3 	5.5 	5.7 	5.2 	6.0 	6.1 	6.4 
Y30-39,PC_EMP,FR	3.8 	3.5 	3.5 	3.6 	3.8 b	3.9 b	3.4 	3.9 
Y30-39,PC_EMP,HR	2.7 	3.6 	3.4 	4.0 	3.9 	4.3 	3.8 	5.2 
Y30-39,PC_EMP,HU	3.3 	3.6 	3.8 	3.7 	3.6 	4.5 	3.8 	3.9 
Y30-39,PC_EMP,IE	3.9 	3.6 b	3.5 	3.5 	3.9 	3.8 	3.7 	3.8 
Y30-39,PC_EMP,IS	6.9 	5.6 	6.9 	6.5 	7.6 	7.2 	6.9 	7.3 
Y30-39,PC_EMP,IT	3.7 	4.0 b	3.9 	3.7 	3.8 	3.9 	3.9 	3.8 
Y30-39,PC_EMP,LT	4.4 	3.7 	3.8 	3.8 	3.8 	3.7 	3.7 	3.4 
Y30-39,PC_EMP,LU	6.2 	5.5 	4.7 	4.8 b	5.4 	4.9 	5.7 	5.8 
