age,unit,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 
Y50-59,THS_PER,EE	6.9 	7.3 	6.4 	6.6 	5.5 	5.2 	6.6 	7.4 
Y50-59,THS_PER,EL	22.9 	23.1 	22.5 	15.9 	21.3 	22.7 	26.2 	26.4 
Y50-59,THS_PER,ES	129.5 	123.9 	123.5 	118.2 	96.8 	94.4 	89.9 	89 
Y50-59,THS_PER,EU28	1854.9 	1808.3 	1744.8 	1692.1 	1655.4 	1630.6 	1602.7 	1513.3 
Y50-59,THS_PER,FI	26.5 	24.4 	24.9 	27 	28.1 	26.1 	25.6 	27 
Y50-59,THS_PER,FR	225.6 	207.7 	202.2 	189.7 	174 b	182.3 b	173.6 	165.6 
Y50-59,THS_PER,HR	11.8 	11.7 	9 u	9.1 u	8.9 u	11.6 	10.7 	6.8 u
Y50-59,THS_PER,HU	31.8 	26.5 	30.2 	31.7 	33.1 	30.1 	28.2 	27.7 
Y50-59,THS_PER,IE	13.9 	15.9 b	15.3 	13.6 	12.8 	14 	12 	11.4 
Y50-59,THS_PER,IS	2.1 	2.9 	2.6 	2 	1.8 	1.6 	1.5 	1.3 
Y50-59,THS_PER,IT	205.7 	184.8 b	161.4 	174.3 	172.8 	177.4 	176 	159.8 
Y50-59,THS_PER,LT	11.1 	13.4 	14.1 	13.2 	14.1 	13.1 	10.6 	10.8 
Y50-59,THS_PER,LU	2.5 	2.5 	2.7 	3 b	3 	3 	2.5 	2.7 
Y50-59,THS_PER,LV	5.8 	5.5 	8.9 	9.1 	8.6 	7.9 	7.8 	6.6 
Y50-59,THS_PER,ME	1.7 u	1.5 u	1.7 u	1.9 u	1.6 u	1.7 u	1.5 u	: u
Y50-59,THS_PER,MK	3.7 	4.2 	4.5 	4.4 	4.2 	4.1 	5.2 	4.8 
Y50-59,THS_PER,MT	1.8 	1.7 	1.8 	1.5 	1.5 	1.5 	1.5 	1.2 
Y50-59,THS_PER,NL	81.3 	84.3 	77.1 	76.1 	83.4 	81.5 b	71.6 	69 
Y50-59,THS_PER,NO	18.1 	17.9 	21.1 	20 	18.4 	20.7 	21 	23 
Y50-59,THS_PER,PL	90.7 	95.2 	90.6 	87 	92.2 	82.3 	82.3 	83.4 
Y50-59,THS_PER,PT	30.7 	27.5 	24.1 	22.2 	21.3 	20.6 	19.3 	18.4 
Y50-59,THS_PER,RO	23.2 	21 	19.5 	18.1 	19.6 	20.9 	26.1 	22.2 
Y50-59,THS_PER,RS	16.5 	16.3 	18 	16.4 b	18.6 b	20 	9.8 	11.1 
Y50-59,THS_PER,SE	47.7 	46.2 	46.5 	38.6 	34.4 	39.8 	40.5 	41.3 
Y50-59,THS_PER,SI	10.3 	8.7 	7.5 	7.6 	7.2 	8 	8.9 	6.6 
Y50-59,THS_PER,SK	12.6 	12.2 	13.8 	14.2 	15.5 	12.4 	13.6 	13.2 
Y50-59,THS_PER,TR	72.8 	67.7 	52 	51.5 	47.8 b	45.8 	40.3 	42.4 
Y50-59,THS_PER,UK	283.8 	282.9 	280.7 	264.5 	265.3 	254.5 	251.2 	244.1 
Y60-64,PC_EMP,AT	5.2 	3.8 u	4.3 u	5.3 u	4.9 u	4.4 u	5.2 u	5.7 u
Y60-64,PC_EMP,BE	5.3 b	4.2 b	4.9 	5.1 	4.9 	5.3 	5.1 b	5.1 
Y60-64,PC_EMP,BG	2.3 u	2.5 u	3.2 u	3.0 u	2.5 u	2.4 u	: u	2.7 u
Y60-64,PC_EMP,CH	4.6 	4.6 	5.1 	5.4 	5.3 	6.6 	6.0 	5.9 
Y60-64,PC_EMP,CY	: u	3.6 u	4.0 u	5.8 bu	: u	: u	3.3 u	4.1 u
Y60-64,PC_EMP,CZ	3.9 	4.7 	4.5 	3.8 	4.2 	4.1 	4.1 	4.4 
Y60-64,PC_EMP,DE	4.1 	4.1 	4.1 	4.0 	4.0 	4.1 	4.2 b	4.0 
Y60-64,PC_EMP,DK	4.2 	4.7 b	4.1 b	3.9 	4.4 	4.7 	3.9 	4.2 
Y60-64,PC_EMP,EE	5.1 	5.3 	4.4 u	3.4 u	4.1 u	5.7 u	4.5 u	5.5 u
Y60-64,PC_EMP,EL	2.7 	2.5 	2.4 	2.5 	3.0 	3.6 	3.7 	3.1 
Y60-64,PC_EMP,ES	3.0 	3.1 	2.6 	2.8 	2.7 	3.0 	2.4 	2.6 
Y60-64,PC_EMP,EU28	3.8 	3.9 	3.9 	3.9 	3.8 	4.0 	4.0 	3.9 
Y60-64,PC_EMP,FI	4.6 	5.4 	4.8 	5.3 	5.0 	4.7 	4.5 	5.5 
Y60-64,PC_EMP,FR	5.0 	4.8 	4.0 	3.8 	4.5 b	5.2 b	4.4 	4.7 
Y60-64,PC_EMP,HR	3.0 u	4.0 u	3.9 u	4.7 u	4.6 u	3.9 u	2.8 u	3.6 u
Y60-64,PC_EMP,HU	2.8 	3.8 	5.1 	5.6 	5.1 	5.2 	6.4 	7.1 
Y60-64,PC_EMP,IE	2.9 	3.4 b	4.0 	3.1 	3.5 	3.3 u	3.6 	4.0 
Y60-64,PC_EMP,IS	5.0 	7.4 	5.8 	5.2 	5.8 	8.8 	5.4 	: u
Y60-64,PC_EMP,IT	3.5 	4.0 b	3.7 	3.6 	3.6 	3.7 	3.5 	3.5 
Y60-64,PC_EMP,LT	5.1 	4.8 	2.8 u	4.1 u	5.1 u	6.1 u	: u	: u
Y60-64,PC_EMP,LU	8.4 u	: u	11.2 u	: bu	8.5 u	: u	: u	: u
Y60-64,PC_EMP,LV	2.8 u	3.0 u	3.6 	3.3 u	3.0 u	4.1 u	4.4 u	: u
Y60-64,PC_EMP,ME	: u	: u	: u	: u	: u	: u	: u	: u
Y60-64,PC_EMP,MK	2.9 	2.7 u	3.1 	2.7 u	4.1 	3.6 u	4.2 	4.1 u
Y60-64,PC_EMP,MT	4.1 u	6.1 u	5.0 u	6.1 u	5.7 u	: u	: u	: u
Y60-64,PC_EMP,NL	5.0 	4.0 	4.6 	5.0 	4.5 	5.0 b	5.0 	4.8 
Y60-64,PC_EMP,NO	4.0 	2.8 	2.8 	4.5 	4.3 	4.5 	4.3 	4.4 
Y60-64,PC_EMP,PL	3.3 	3.9 	3.6 	3.3 	2.5 	3.0 	3.7 	3.4 
Y60-64,PC_EMP,PT	1.8 	1.6 	1.8 	: u	1.9 	: u	: u	: u
Y60-64,PC_EMP,RO	: u	: u	: u	: u	: u	: u	: u	: u
Y60-64,PC_EMP,RS	2.1 	2.2 	2.1 	3.0 b	4.3 b	4.7 u	1.8 u	: u
Y60-64,PC_EMP,SE	4.1 	4.3 	4.6 	4.6 	4.6 	4.9 	4.9 	4.6 
Y60-64,PC_EMP,SI	4.2 u	3.6 u	4.2 u	3.9 u	4.0 u	5.9 u	5.7 u	2.8 u
Y60-64,PC_EMP,SK	3.3 	3.5 	2.1 u	4.1 	3.5 u	: u	3.4 u	5.1 u
Y60-64,PC_EMP,TR	1.8 	1.3 	1.4 	1.1 	0.9 b	1.2 	0.8 	1.0 
Y60-64,PC_EMP,UK	4.2 	4.3 	4.7 	4.9 	4.6 	4.7 	5.1 	4.7 
Y60-64,THS_PER,AT	8.4 	5.3 u	5.6 u	5.9 u	5.4 u	4.6 u	4.9 u	5.3 u
Y60-64,THS_PER,BE	11.1 b	8 b	8.5 	8.1 	7.6 	7.8 	7 b	7 
Y60-64,THS_PER,BG	5.3 u	5.5 u	6.3 u	5.8 u	4.5 u	4 u	: u	3.9 u
Y60-64,THS_PER,CH	13.9 	13.5 	14.4 	14.6 	13.8 	17.3 	15.1 	15.1 
Y60-64,THS_PER,CY	: u	0.8 u	0.8 u	1 bu	: u	: u	0.6 u	0.8 u
Y60-64,THS_PER,CZ	12.4 	14.2 	12.3 	9.5 	9.8 	9 	8.3 	8.5 
Y60-64,THS_PER,DE	133.7 	127.7 	120.7 	111.8 	107.4 	105.1 	96.3 b	83.1 
Y60-64,THS_PER,DK	8.6 	9 b	7.4 b	6.4 	7 	7.2 	5.8 	6.4 
Y60-64,THS_PER,EE	2.5 	2.5 	2 u	1.5 u	1.8 u	2.4 u	1.8 u	2 u
Y60-64,THS_PER,EL	5.6 	4.6 	3.9 	4.1 	4.8 	5.6 	5.9 	5.8 
Y60-64,THS_PER,ES	31.8 	31.9 	24.3 	25.3 	22.4 	22.8 	18.4 	20.6 
Y60-64,THS_PER,EU28	542.7 	529.2 	491 	461.5 	430.3 	423.7 	399.2 	375.6 
Y60-64,THS_PER,FI	8.6 	9.8 	8.5 	8.9 	8.4 	7.9 	7.6 	9.1 
Y60-64,THS_PER,FR	62.4 	56.3 	45.1 	41.7 	45.4 b	48.5 b	38.2 	35.2 
Y60-64,THS_PER,HR	2.7 u	3.2 u	3 u	3.9 u	3.2 u	2.8 u	1.9 u	2.6 u
Y60-64,THS_PER,HU	7.6 	9.6 	11.9 	10.1 	6.8 	5.3 	5.8 	6.3 
Y60-64,THS_PER,IE	3.7 	4.1 b	4.5 	3.3 	3.4 	3 u	3.2 	3.5 
Y60-64,THS_PER,IS	0.8 	1.1 	0.9 	0.8 	0.8 	1.2 	0.7 	: u
Y60-64,THS_PER,IT	53.7 	58.4 b	49.8 	44 	40.9 	35 	29.8 	27.6 
Y60-64,THS_PER,LT	5.4 	4.5 	2.4 u	3.2 u	3.6 u	3.9 u	: u	: u
Y60-64,THS_PER,LU	0.5 u	: u	0.6 u	: bu	0.5 u	: u	: u	: u
Y60-64,THS_PER,LV	1.9 u	1.9 u	2.2 	1.8 u	1.4 u	1.9 u	2 u	: u
Y60-64,THS_PER,ME	: u	: u	: u	: u	: u	: u	: u	: u
Y60-64,THS_PER,MK	1.2 	1.1 u	1.1 	0.9 u	1.1 	1 u	1.2 	1 u
Y60-64,THS_PER,MT	0.4 u	0.6 u	0.4 u	0.4 u	0.4 u	: u	: u	: u
Y60-64,THS_PER,NL	31.4 	23.8 	25.5 	26.5 	22.2 	23.9 b	22.3 	20.2 
Y60-64,THS_PER,NO	7.8 	5.4 	5.4 	8.4 	7.9 	8 	7.7 	7.6 
Y60-64,THS_PER,PL	30.1 	34.4 	29.6 	24.8 	17.4 	18.2 	20.4 	17.3 
Y60-64,THS_PER,PT	5.4 	4.5 	4.6 	: u	4.6 	: u	: u	: u
Y60-64,THS_PER,RO	: u	: u	: u	: u	: u	: u	: u	: u
Y60-64,THS_PER,RS	4.1 	4.4 	3.9 	4.5 b	6.2 b	6.8 u	2.3 u	: u
Y60-64,THS_PER,SE	16 	16.5 	17.3 	16.9 	17.4 	18.5 	18.6 	17.5 
Y60-64,THS_PER,SI	1.5 u	1.1 u	1.1 u	0.9 u	1.1 u	1.3 u	1.1 u	0.5 u
Y60-64,THS_PER,SK	4 	4.1 	2 u	3.3 	2.5 u	: u	2.2 u	2.7 u
Y60-64,THS_PER,TR	18.4 	12.8 	12.5 	9 	7 b	8.9 	6 	6.4 
Y60-64,THS_PER,UK	84.1 	81 	85.9 	85 	77.3 	76.3 	82.9 	77.9 
Y_GE65,PC_EMP,AT	7.8 	7.9 u	6.7 u	7.0 u	7.2 u	7.9 u	5.2 u	7.8 u
Y_GE65,PC_EMP,BE	8.3 bu	5.8 bu	7.4 u	6.2 u	6.1 u	5.0 u	8.1 bu	6.2 u
Y_GE65,PC_EMP,BG	: u	: u	: u	: u	: u	: u	: u	: u
Y_GE65,PC_EMP,CH	8.9 	9.5 	9.2 	11.0 	10.5 	9.6 	9.3 	10.5 
Y_GE65,PC_EMP,CY	5.2 u	: u	: u	: bu	: u	: u	: u	: u
Y_GE65,PC_EMP,CZ	6.0 	8.3 	7.5 	6.9 	8.3 	8.7 	8.1 	8.0 
Y_GE65,PC_EMP,DE	7.8 	7.9 	7.6 	7.6 	7.7 	7.9 	8.5 b	7.0 
Y_GE65,PC_EMP,DK	5.9 	5.9 b	5.8 b	8.1 	8.7 	6.8 	9.5 	8.4 
Y_GE65,PC_EMP,EE	5.8 u	7.8 	7.4 u	6.1 u	5.6 u	8.3 u	12.5 	10.2 u
Y_GE65,PC_EMP,EL	2.4 u	: u	: u	: u	: u	: u	2.4 u	2.8 u
Y_GE65,PC_EMP,ES	4.8 	4.7 	3.0 u	6.1 	5.6 	4.5 	4.8 	3.9 
Y_GE65,PC_EMP,EU28	6.0 	6.2 	5.7 	5.9 	5.8 	6.0 	6.0 	5.4 
Y_GE65,PC_EMP,FI	9.0 	9.7 	7.4 	6.6 	9.2 	9.2 	5.9 u	10.6 
Y_GE65,PC_EMP,FR	7.6 	9.6 	6.9 	6.8 	7.4 b	8.6 b	10.3 	9.8 
Y_GE65,PC_EMP,HR	: u	5.1 u	5.5 u	: u	: u	3.6 u	4.3 u	: u
Y_GE65,PC_EMP,HU	7.0 u	: u	6.2 u	: u	: u	: u	9.3 u	10.1 u
Y_GE65,PC_EMP,IE	3.4 u	4.6 b	3.9 u	4.3 u	: u	: u	: u	: u
Y_GE65,PC_EMP,IS	7.3 	5.7 	5.9 	5.6 	: u	7.4 	7.9 	: u
Y_GE65,PC_EMP,IT	5.1 	5.0 b	3.4 	3.2 	3.6 	4.5 	3.9 	3.8 
Y_GE65,PC_EMP,LT	6.7 u	5.2 u	5.0 u	5.4 u	5.9 u	6.0 u	: u	: u
Y_GE65,PC_EMP,LU	: u	: u	: u	: bu	: u	: u	: u	: u
Y_GE65,PC_EMP,LV	5.8 	6.7 	6.9 	: u	5.9 u	6.8 u	: u	: u
Y_GE65,PC_EMP,ME	: u	: u	: u	: u	: u	: u	: u	: u
Y_GE65,PC_EMP,MK	: u	: u	5.4 u	: u	: u	: u	: u	: u
Y_GE65,PC_EMP,MT	9.9 u	: u	: u	9.1 u	: u	: u	: u	: u
Y_GE65,PC_EMP,NL	7.7 	6.7 	7.0 	7.2 	8.5 	9.5 b	9.3 	8.2 
Y_GE65,PC_EMP,NO	5.6 	5.9 	5.9 	6.0 	6.0 	5.7 	6.8 	5.2 
Y_GE65,PC_EMP,PL	4.7 	4.5 	4.3 u	4.3 u	4.8 u	4.5 u	5.5 u	5.5 u
Y_GE65,PC_EMP,PT	: u	: u	: u	: u	: u	: u	: u	: u
Y_GE65,PC_EMP,RO	: u	: u	: u	: u	: u	: u	: u	: u
Y_GE65,PC_EMP,RS	1.4 u	1.0 u	0.8 u	: bu	: bu	: u	: u	: u
Y_GE65,PC_EMP,SE	6.9 	7.5 	7.7 	8.5 	7.9 	7.2 	7.3 	8.1 
Y_GE65,PC_EMP,SI	4.9 u	5.3 u	: u	: u	: u	3.0 u	: u	: u
Y_GE65,PC_EMP,SK	8.3 u	7.2 u	: u	: u	: u	: u	: u	: u
Y_GE65,PC_EMP,TR	1.0 	1.2 	0.6 	0.8 	0.8 b	0.4 	0.3 u	0.3 u
Y_GE65,PC_EMP,UK	6.6 	7.0 	6.8 	7.8 	7.0 	7.4 	7.1 	6.6 
Y_GE65,THS_PER,AT	6.1 	5.9 u	5.2 u	5.6 u	5.6 u	5.9 u	3.7 u	5.5 u
Y_GE65,THS_PER,BE	4.6 bu	2.9 bu	3.4 u	3.2 u	2.8 u	2.3 u	3.6 bu	2.4 u
Y_GE65,THS_PER,BG	: u	: u	: u	: u	: u	: u	: u	: u
Y_GE65,THS_PER,CH	16.6 	17.3 	16.7 	18.4 	17.1 	14.1 	12.7 	13.5 
Y_GE65,THS_PER,CY	0.6 u	: u	: u	: bu	: u	: u	: u	: u
Y_GE65,THS_PER,CZ	8.9 	10.6 	9.2 	7.5 	7.5 	7.9 	6.4 	6.1 
Y_GE65,THS_PER,DE	99.5 	93.4 	83.7 	78.4 	74 	70.7 	68.4 b	52 
Y_GE65,THS_PER,DK	4.9 	4.8 b	5.4 b	5.9 	6.4 	4.5 	6.4 	5 
Y_GE65,THS_PER,EE	2 u	2.6 	2.4 u	1.7 u	1.4 u	2.1 u	3 	2.2 u
Y_GE65,THS_PER,EL	1.8 u	: u	: u	: u	: u	: u	1.4 u	2.1 u
Y_GE65,THS_PER,ES	9.2 	8.3 	4.7 u	9.1 	7.5 	6.2 	7.4 	5.8 
Y_GE65,THS_PER,EU28	360.5 	348.6 	301.9 	301.5 	283.4 	276.4 	266.7 	226.9 
Y_GE65,THS_PER,FI	6.7 	6.8 	5.1 	4.5 	5.6 	4.9 	3.1 u	4.8 
Y_GE65,THS_PER,FR	28.5 	35.4 	23.5 	20.7 	19.8 b	20.5 b	24.3 	19.1 
Y_GE65,THS_PER,HR	: u	1.1 u	1.3 u	: u	: u	1.1 u	1.6 u	: u
Y_GE65,THS_PER,HU	4.1 u	: u	2.6 u	: u	: u	: u	3.2 u	3.5 u
Y_GE65,THS_PER,IE	2.6 u	3.2 b	2.5 u	2.7 u	: u	: u	: u	: u
Y_GE65,THS_PER,IS	0.8 	0.6 	0.6 	0.6 	: u	0.6 	0.6 	: u
Y_GE65,THS_PER,IT	32.3 	28.7 b	17.4 	15.6 	16.9 	19.7 	16.3 	14.5 
Y_GE65,THS_PER,LT	3.4 u	2.6 u	2.2 u	1.9 u	1.8 u	1.7 u	: u	: u
Y_GE65,THS_PER,LU	: u	: u	: u	: bu	: u	: u	: u	: u
Y_GE65,THS_PER,LV	2.1 	2.2 	2.1 	: u	1.5 u	1.9 u	: u	: u
Y_GE65,THS_PER,ME	: u	: u	: u	: u	: u	: u	: u	: u
Y_GE65,THS_PER,MK	: u	: u	0.5 u	: u	: u	: u	: u	: u
Y_GE65,THS_PER,MT	0.4 u	: u	: u	0.4 u	: u	: u	: u	: u
Y_GE65,THS_PER,NL	19.6 	15.4 	14.3 	14.7 	17.7 	17.3 b	15.9 	11.5 
Y_GE65,THS_PER,NO	5.5 	5.5 	5.5 	5.8 	5.4 	4.6 	5.4 	3.9 
Y_GE65,THS_PER,PL	16.4 	15.6 	12.8 u	11.7 u	13 u	11.4 u	13.9 u	13.7 u
Y_GE65,THS_PER,PT	: u	: u	: u	: u	: u	: u	: u	: u
Y_GE65,THS_PER,RO	: u	: u	: u	: u	: u	: u	: u	: u
Y_GE65,THS_PER,RS	2 u	1.4 u	1.1 u	: bu	: bu	: u	: u	: u
Y_GE65,THS_PER,SE	13.1 	14.1 	13.4 	15.1 	13.8 	10.8 	10.7 	10.4 
Y_GE65,THS_PER,SI	0.9 u	0.8 u	: u	: u	: u	0.5 u	: u	: u
Y_GE65,THS_PER,SK	2.8 u	2.1 u	: u	: u	: u	: u	: u	: u
Y_GE65,THS_PER,TR	8.7 	9.9 	4.7 	6.1 	5.6 b	2.8 	2.2 u	1.7 u
Y_GE65,THS_PER,UK	82 	82.2 	82.5 	91.8 	77.6 	77.1 	67.2 	58 
