sex,unit,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 
F,PC_EMP,AT	3.9 	3.9 	4.1 	3.7 	3.7 	4.1 	4.2 	3.6 
F,PC_EMP,BE	4.2 b	4.2 b	3.7 	3.7 	3.9 	3.5 	3.9 b	3.3 
F,PC_EMP,BG	3.3 	3.2 	3.3 	3.1 	3.1 	3.1 	2.9 	2.9 
F,PC_EMP,CH	5.1 	5.0 	5.0 	4.8 	4.4 	4.6 	4.6 	4.5 
F,PC_EMP,CY	3.5 	3.5 	3.4 	3.1 b	2.9 	3.1 	3.0 	3.1 
F,PC_EMP,CZ	4.2 	4.4 	4.5 	4.1 	4.3 	4.3 	4.4 	4.3 
F,PC_EMP,DE	4.0 	4.1 	4.1 	4.1 	4.2 	4.2 	4.3 b	4.0 
F,PC_EMP,DK	4.4 	4.6 b	4.7 b	5.0 	4.9 	4.9 	5.1 	4.9 
F,PC_EMP,EE	6.8 	7.1 	6.7 	6.5 	5.7 	6.5 	7.5 	6.6 
F,PC_EMP,EL	3.6 	3.3 	3.4 	3.0 	3.2 	3.5 	3.6 	3.3 
F,PC_EMP,ES	3.2 	3.3 	3.2 	3.1 	3.0 	2.9 	2.8 	2.7 
F,PC_EMP,EU28	3.8 	3.8 	3.8 	3.7 	3.7 	3.7 	3.7 	3.5 
F,PC_EMP,FI	5.4 	4.9 	5.0 	5.3 	5.3 	5.3 	5.4 	5.4 
F,PC_EMP,FR	3.6 	3.4 	3.1 	3.0 	3.1 b	3.2 b	3.2 	3.1 
F,PC_EMP,HR	3.5 	3.5 	3.2 	3.9 	4.3 	3.3 	3.9 	3.7 
F,PC_EMP,HU	3.7 	3.7 	4.0 	4.0 	3.9 	4.1 	3.9 	3.6 
F,PC_EMP,IE	3.4 	3.6 b	4.0 	3.8 	3.9 	3.9 	3.4 	3.7 
F,PC_EMP,IS	6.2 	6.2 	6.1 	5.9 	6.2 	5.7 	5.8 	5.3 
F,PC_EMP,IT	3.6 	3.7 b	3.5 	3.5 	3.5 	3.5 	3.7 	3.6 
F,PC_EMP,LT	4.9 	4.4 	4.7 	5.3 	4.9 	4.7 	4.8 	4.6 
F,PC_EMP,LU	6.3 	5.2 	6.3 	6.0 b	6.9 	5.8 	6.0 	5.5 
F,PC_EMP,LV	4.7 	5.1 	5.7 	5.4 	5.2 	5.1 	4.6 	4.4 
F,PC_EMP,ME	4.6 	4.2 	3.3 	3.5 	4.6 	5.3 	3.8 	4.9 
F,PC_EMP,MK	3.9 	4.1 	4.3 	3.7 	3.7 	4.2 	4.7 	4.4 
F,PC_EMP,MT	5.9 	4.8 	3.6 	4.0 	3.9 	3.8 	3.7 	3.2 
F,PC_EMP,NL	4.4 	4.4 	4.2 	4.2 	4.2 	4.3 b	4.1 	4.2 
F,PC_EMP,NO	3.8 	4.0 	4.0 	4.1 	4.1 	4.4 	4.5 	4.6 
F,PC_EMP,PL	4.2 	4.1 	3.9 	3.9 	3.8 	3.5 	3.5 	3.5 
F,PC_EMP,PT	2.9 	2.8 	2.9 	3.0 	2.9 	2.7 	2.6 	2.7 
F,PC_EMP,RO	1.8 	1.9 	1.8 	1.8 	1.7 	1.6 	1.8 	1.5 
F,PC_EMP,RS	3.2 	3.5 	3.2 	3.2 b	3.9 b	3.8 	2.1 	2.0 
F,PC_EMP,SE	4.8 	5.2 	5.4 	5.2 	5.0 	4.8 	4.7 	4.8 
F,PC_EMP,SI	4.7 	5.0 	4.9 	4.9 	4.9 	5.2 	5.0 	4.8 
F,PC_EMP,SK	3.0 	3.1 	2.8 	2.7 	2.9 	2.4 	3.1 	3.1 
F,PC_EMP,TR	3.6 	3.5 	3.3 	3.4 	3.4 b	3.5 	2.9 	3.4 
F,PC_EMP,UK	4.0 	4.2 	4.2 	4.1 	3.9 	4.0 	3.8 	3.8 
F,THS_PER,AT	79 	77.8 	81.5 	72.2 	71.2 	79.9 	79.5 	67.2 
F,THS_PER,BE	92.6 b	89.4 b	79.5 	79.2 	81.9 	72.5 	80 b	68.4 
F,THS_PER,BG	48.2 	46.9 	45.9 	44.2 	43.1 	43.5 	40.1 	40.3 
F,THS_PER,CH	110.9 	107.2 	107.7 	102.1 	91.1 	92.7 	91.1 	89.2 
F,THS_PER,CY	6.7 	6.4 	5.9 	5.4 b	5.2 	5.4 	5.4 	5.8 
F,THS_PER,CZ	98 	100.5 	102.2 	90.8 	93.4 	92.9 	92.1 	89.2 
F,THS_PER,DE	784.7 	787 	784.7 	777.8 	775.4 	769.3 	784 b	711.8 
F,THS_PER,DK	60 	61.1 b	62.4 b	63.9 	62.7 	63.2 	65.6 	63.4 
F,THS_PER,EE	22 	22.7 	21.2 	20.2 	17.4 	20.1 	23.1 	20 
F,THS_PER,EL	56.5 	52.5 	52 	45.7 	47.5 	50.9 	54.5 	55.4 
F,THS_PER,ES	278.3 	285.2 	269.4 	249.1 	237.8 	225.7 	228 	224.3 
F,THS_PER,EU28	4031.4 	4017.3 	3879.3 	3778.8 	3702.7 	3641.8 	3654.4 	3488.2 
F,THS_PER,FI	66.4 	58.9 	58.7 	63.2 	63 	63.1 	65.5 	64.2 
F,THS_PER,FR	466.9 	435.1 	399.3 	377.2 	388.6 b	397.3 b	387.9 	376 
F,THS_PER,HR	26.5 	25.9 	23.7 	28.6 	30.8 	23.4 	27.8 	26.9 
F,THS_PER,HU	75.7 	74.7 	79.8 	77.8 	72.6 	73.1 	69.9 	63.3 
F,THS_PER,IE	35 	36.5 b	39.3 	35.8 	35.2 	35 	29.7 	32.3 
F,THS_PER,IS	5.7 	5.6 	5.5 	5.2 	5.3 	4.7 	4.6 	4.2 
F,THS_PER,IT	354.8 	362 b	331 	331.7 	326.8 	323.6 	342.4 	330.1 
F,THS_PER,LT	33.9 	30.8 	32.7 	36.3 	33 	30.7 	31.5 	29.8 
F,THS_PER,LU	8.2 	6.6 	7.4 	7 b	7.5 	6.1 	6.2 	5.4 
F,THS_PER,LV	21.9 	23.2 	26.1 	24.5 	23.1 	22.9 	20.4 	19.7 
F,THS_PER,ME	4.8 	4.3 	3.3 	3.6 	4.5 	4.8 	3.4 	4.2 
F,THS_PER,MK	11.6 	12 	12.2 	10.4 	10.1 	11.4 	12.2 	11.3 
F,THS_PER,MT	5.6 	4.2 	3 	3.1 	2.9 	2.7 	2.4 	1.9 
F,THS_PER,NL	182 	174 	164.6 	161.7 	159.5 	164.6 b	159.3 	158.5 
F,THS_PER,NO	48.1 	50.4 	50.6 	51.6 	51.2 	54.3 	55.4 	55 
F,THS_PER,PL	308.4 	302.1 	285.5 	281 	266.6 	243.9 	244.7 	240.6 
F,THS_PER,PT	68.7 	63.9 	64.9 	66.2 	63.9 	56.8 	57 	61.4 
F,THS_PER,RO	68.5 	72.7 	66.5 	65.6 	65.4 	59.3 	70.2 	57.6 
F,THS_PER,RS	39.4 	43.5 	38.4 	35.4 b	43.4 b	37.3 	19.3 	19.1 
F,THS_PER,SE	117.5 	123.6 	126.2 	119.1 	112.9 	106.6 	103.3 	105 
F,THS_PER,SI	21.2 	22.1 	20.7 	20.2 	20.4 	21.2 	21 	20.6 
F,THS_PER,SK	34.7 	35.7 	31.3 	29.4 	30.1 	25.2 	32.1 	31.5 
F,THS_PER,TR	322.9 	303.3 	276.1 	271.1 	262.7 b	264.2 	212.6 	236.9 
F,THS_PER,UK	609.4 	636 	613.7 	601.8 	564.8 	563 	530.7 	517.6 
M,PC_EMP,AT	4.4 	4.3 	4.0 	4.2 	4.3 	4.3 	3.9 	4.1 
M,PC_EMP,BE	4.4 b	4.3 b	4.1 	4.2 	4.2 	4.0 	4.2 b	4.1 
M,PC_EMP,BG	2.1 	2.3 	2.4 	2.5 	2.2 	2.2 	2.4 	2.2 
M,PC_EMP,CH	4.5 	4.5 	4.6 	5.0 	5.0 	5.0 	5.2 	5.1 
M,PC_EMP,CY	3.4 	3.5 	3.5 	3.7 b	3.2 	3.4 	3.0 	2.7 
M,PC_EMP,CZ	3.4 	3.6 	3.8 	3.4 	3.5 	3.5 	3.3 	3.2 
M,PC_EMP,DE	3.9 	3.9 	4.0 	4.0 	4.1 	4.2 	4.3 b	4.1 
M,PC_EMP,DK	3.9 	4.1 b	4.2 b	4.3 	4.2 	4.4 	4.3 	4.2 
M,PC_EMP,EE	4.4 	3.9 	3.9 	4.1 	3.6 	4.7 	4.0 	3.5 
M,PC_EMP,EL	3.0 	3.1 	3.1 	2.8 	3.2 	3.4 	3.4 	3.0 
M,PC_EMP,ES	3.8 	3.8 	3.6 	3.7 	3.7 	3.5 	3.4 	3.3 
M,PC_EMP,EU28	3.8 	3.8 	3.7 	3.8 	3.8 	3.8 	3.8 	3.7 
M,PC_EMP,FI	4.5 	4.4 	4.6 	4.8 	4.4 	4.4 	4.6 	5.1 
M,PC_EMP,FR	3.6 	3.6 	3.6 	3.5 	3.6 b	3.7 b	3.5 	3.8 
M,PC_EMP,HR	3.1 	3.6 	2.9 	2.9 	3.4 	3.5 	3.5 	3.5 
M,PC_EMP,HU	3.0 	3.0 	3.3 	3.4 	3.5 	3.7 	3.6 	3.8 
M,PC_EMP,IE	3.4 	3.4 b	3.6 	3.6 	3.7 	3.6 	3.6 	3.5 
M,PC_EMP,IS	4.8 	5.4 	6.3 	6.1 	5.2 	5.8 	5.1 	5.5 
M,PC_EMP,IT	3.5 	3.5 b	3.3 	3.5 	3.5 	3.6 	3.6 	3.4 
M,PC_EMP,LT	3.2 	2.9 	2.4 	2.6 	3.1 	2.9 	2.6 	2.6 
M,PC_EMP,LU	4.4 	4.0 	4.0 	4.2 b	5.3 	4.7 	4.8 	5.0 
M,PC_EMP,LV	2.3 	2.9 	3.2 	2.6 	2.7 	2.7 	2.6 	2.3 
M,PC_EMP,ME	3.5 	3.0 	3.2 	3.1 	3.7 	4.1 	3.4 	3.4 
M,PC_EMP,MK	2.5 	2.6 	2.4 	2.5 	2.8 	2.8 	3.5 	3.5 
M,PC_EMP,MT	4.7 	4.8 	4.7 	4.9 	4.8 	4.4 	4.4 	4.3 
M,PC_EMP,NL	4.8 	4.7 	4.7 	4.9 	5.0 	5.0 b	4.8 	4.6 
M,PC_EMP,NO	3.8 	3.7 	3.7 	3.7 	3.9 	4.3 	4.7 	4.4 
M,PC_EMP,PL	3.1 	2.9 	2.9 	2.8 	2.8 	2.9 	2.9 	2.9 
M,PC_EMP,PT	3.6 	3.3 	3.2 	3.3 	3.1 	3.1 	3.1 	2.9 
M,PC_EMP,RO	1.5 	1.4 	1.4 	1.2 	1.3 	1.2 	1.3 	1.3 
M,PC_EMP,RS	2.9 	2.8 	3.0 	3.2 b	3.4 b	3.4 	1.7 	2.1 
M,PC_EMP,SE	4.4 	4.5 	4.6 	4.4 	4.5 	4.8 	4.9 	4.7 
M,PC_EMP,SI	4.8 	4.5 	4.4 	4.3 	4.5 	4.8 	4.4 	4.0 
M,PC_EMP,SK	2.6 	2.7 	2.2 	2.3 	2.4 	2.1 	2.1 	2.2 
M,PC_EMP,TR	1.7 	1.8 	1.8 	1.7 	1.8 b	1.7 	1.7 	1.7 
M,PC_EMP,UK	5.0 	5.0 	5.1 	5.1 	5.0 	5.0 	5.1 	4.8 
M,THS_PER,AT	101.3 	96.9 	89.5 	92.1 	92.6 	94.1 	84.8 	88 
M,THS_PER,BE	112 b	108.3 b	99.9 	102.3 	101.9 	97.4 	102.7 b	101 
M,THS_PER,BG	36 	38.2 	38.4 	39.7 	35.1 	34.7 	36.6 	34.8 
M,THS_PER,CH	112.4 	112.8 	113.3 	122.4 	119 	118.2 	121.7 	118 
M,THS_PER,CY	7.1 	7 	6.6 	6.7 b	6 	6.5 	6 	5.6 
M,THS_PER,CZ	99.5 	103.8 	108 	96.2 	97.8 	98.5 	92 	87.8 
M,THS_PER,DE	876.5 	876.6 	871.8 	865.7 	866.8 	890.7 	905.5 b	861.4 
M,THS_PER,DK	59.3 	60.9 b	63.2 b	62.2 	60.8 	61.8 	60.3 	59.7 
M,THS_PER,EE	15.2 	13.2 	13 	13.5 	11.5 	14.6 	12.5 	10.6 
M,THS_PER,EL	68.1 	68 	66.1 	58.3 	65.4 	70.9 	74 	71.4 
M,THS_PER,ES	399.5 	386.5 	364.9 	358.3 	345.7 	326.8 	323.4 	339 
M,THS_PER,EU28	4704.7 	4641.4 	4526.6 	4480.5 	4462.7 	4455 	4459.8 	4364.2 
M,THS_PER,FI	59.3 	56.6 	58.1 	60.1 	55.5 	55.8 	59.3 	64.8 
M,THS_PER,FR	498.9 	504.3 	489.8 	471.4 	496 b	497.5 b	475.3 	508.8 
M,THS_PER,HR	27.8 	31.6 	25 	25.1 	28.5 	28.9 	29.7 	31.2 
M,THS_PER,HU	74.3 	72.5 	77.2 	77.7 	77.3 	78.2 	73.2 	76.6 
M,THS_PER,IE	42 	40.8 b	41.2 	40.4 	40.4 	37.6 	36.5 	35.3 
M,THS_PER,IS	5.2 	5.6 	6.4 	5.9 	4.9 	5.2 	4.5 	4.8 
M,THS_PER,IT	475.8 	463.5 b	434.8 	454 	454.6 	460.7 	470.3 	453 
M,THS_PER,LT	21.6 	19.1 	16.2 	17 	20.1 	18.4 	16 	15.8 
M,THS_PER,LU	6.7 	5.8 	5.8 	5.9 b	7.2 	6.3 	6.4 	6.4 
M,THS_PER,LV	10.2 	12.8 	14 	11.7 	11.7 	11.8 	11.2 	9.5 
M,THS_PER,ME	4.7 	3.9 	4 	3.7 	4.4 	4.5 	3.8 	3.7 
M,THS_PER,MK	11.6 	11.9 	10.7 	10.7 	11.9 	11.6 	13.9 	13.6 
M,THS_PER,MT	6.5 	6.4 	6 	5.9 	5.6 	5 	4.8 	4.7 
M,THS_PER,NL	226.4 	216.2 	213.7 	220.8 	221.7 	221.5 b	216.8 	207.6 
M,THS_PER,NO	53.3 	51.7 	51.9 	51 	54.3 	59.6 	63.8 	58 
M,THS_PER,PL	277.5 	267.2 	258.9 	249.6 	241.6 	248.6 	252.9 	252.5 
M,THS_PER,PT	89.4 	81.8 	74.5 	76.1 	71.8 	70.8 	71.9 	72.3 
M,THS_PER,RO	72.5 	68.4 	67.2 	60.4 	65.1 	57 	61.7 	59.6 
M,THS_PER,RS	46.1 	43.4 	45.7 	47.2 b	48.9 b	45 	22 	27.7 
M,THS_PER,SE	117.5 	119 	116.9 	110.4 	111.6 	118.4 	119.7 	114.6 
M,THS_PER,SI	25.3 	23.4 	21.6 	21.3 	22.4 	23.7 	21.8 	20 
M,THS_PER,SK	36.8 	36.9 	30.8 	31.5 	31.8 	27.2 	27.4 	29 
M,THS_PER,TR	336.3 	341.4 	330.9 	320.6 	328.5 b	301.8 	304.8 	285.3 
M,THS_PER,UK	861.7 	855.9 	853.6 	846.3 	816.2 	791.6 	807.2 	743.6 
T,PC_EMP,AT	4.2 	4.1 	4.1 	4.0 	4.0 	4.2 	4.0 	3.8 
T,PC_EMP,BE	4.3 b	4.3 b	3.9 	4.0 	4.0 	3.8 	4.0 b	3.8 
T,PC_EMP,BG	2.7 	2.7 	2.8 	2.8 	2.6 	2.7 	2.6 	2.5 
T,PC_EMP,CH	4.8 	4.7 	4.8 	4.9 	4.7 	4.8 	4.9 	4.8 
T,PC_EMP,CY	3.5 	3.5 	3.5 	3.4 b	3.1 	3.3 	3.0 	2.9 
T,PC_EMP,CZ	3.7 	3.9 	4.1 	3.7 	3.8 	3.9 	3.8 	3.6 
T,PC_EMP,DE	4.0 	4.0 	4.0 	4.1 	4.1 	4.2 	4.3 b	4.1 
T,PC_EMP,DK	4.2 	4.3 b	4.4 b	4.6 	4.6 	4.7 	4.7 	4.6 
T,PC_EMP,EE	5.6 	5.5 	5.3 	5.3 	4.6 	5.6 	5.8 	5.1 
T,PC_EMP,EL	3.3 	3.2 	3.2 	2.9 	3.2 	3.5 	3.5 	3.1 
T,PC_EMP,ES	3.5 	3.6 	3.5 	3.4 	3.4 	3.2 	3.1 	3.1 
T,PC_EMP,EU28	3.8 	3.8 	3.7 	3.7 	3.7 	3.8 	3.8 	3.6 
T,PC_EMP,FI	4.9 	4.7 	4.8 	5.1 	4.8 	4.8 	5.0 	5.2 
T,PC_EMP,FR	3.6 	3.5 	3.3 	3.2 	3.4 b	3.5 b	3.3 	3.4 
T,PC_EMP,HR	3.3 	3.5 	3.1 	3.4 	3.8 	3.4 	3.7 	3.6 
T,PC_EMP,HU	3.4 	3.3 	3.6 	3.7 	3.7 	3.9 	3.7 	3.7 
T,PC_EMP,IE	3.4 	3.5 b	3.8 	3.7 	3.8 	3.7 	3.5 	3.6 
T,PC_EMP,IS	5.5 	5.8 	6.2 	6.0 	5.7 	5.8 	5.4 	5.4 
T,PC_EMP,IT	3.6 	3.6 b	3.4 	3.5 	3.5 	3.5 	3.6 	3.5 
T,PC_EMP,LT	4.0 	3.7 	3.6 	4.0 	4.0 	3.8 	3.7 	3.6 
T,PC_EMP,LU	5.3 	4.6 	5.1 	5.0 b	6.0 	5.2 	5.3 	5.2 
T,PC_EMP,LV	3.5 	4.0 	4.5 	4.0 	3.9 	3.9 	3.6 	3.4 
T,PC_EMP,ME	4.0 	3.6 	3.3 	3.3 	4.1 	4.6 	3.6 	4.1 
T,PC_EMP,MK	3.1 	3.2 	3.2 	3.0 	3.2 	3.4 	4.0 	3.9 
T,PC_EMP,MT	5.2 	4.8 	4.3 	4.5 	4.5 	4.2 	4.1 	3.9 
T,PC_EMP,NL	4.6 	4.5 	4.5 	4.6 	4.6 	4.7 b	4.5 	4.4 
T,PC_EMP,NO	3.8 	3.9 	3.9 	3.9 	4.0 	4.4 	4.6 	4.5 
T,PC_EMP,PL	3.6 	3.5 	3.4 	3.3 	3.2 	3.2 	3.2 	3.2 
T,PC_EMP,PT	3.2 	3.1 	3.0 	3.1 	3.0 	2.9 	2.8 	2.8 
T,PC_EMP,RO	1.6 	1.6 	1.6 	1.5 	1.5 	1.4 	1.5 	1.4 
T,PC_EMP,RS	3.0 	3.1 	3.1 	3.2 b	3.6 b	3.6 	1.9 	2.1 
T,PC_EMP,SE	4.6 	4.8 	5.0 	4.7 	4.7 	4.8 	4.8 	4.7 
T,PC_EMP,SI	4.7 	4.7 	4.6 	4.5 	4.7 	5.0 	4.6 	4.3 
T,PC_EMP,SK	2.8 	2.9 	2.5 	2.5 	2.6 	2.2 	2.6 	2.6 
T,PC_EMP,TR	2.3 	2.3 	2.2 	2.2 	2.3 b	2.2 	2.1 	2.2 
T,PC_EMP,UK	4.5 	4.7 	4.6 	4.6 	4.5 	4.5 	4.5 	4.3 
T,THS_PER,AT	180.3 	174.7 	171 	164.3 	163.8 	173.9 	164.3 	155.1 
T,THS_PER,BE	204.6 b	197.8 b	179.4 	181.5 	183.8 	169.9 	182.6 b	169.4 
T,THS_PER,BG	84.3 	85.1 	84.3 	83.9 	78.2 	78.2 	76.7 	75 
T,THS_PER,CH	223.2 	220 	221 	224.5 	210.1 	210.9 	212.8 	207.2 
T,THS_PER,CY	13.8 	13.4 	12.6 	12.1 b	11.1 	11.9 	11.5 	11.5 
T,THS_PER,CZ	197.5 	204.3 	210.2 	187 	191.2 	191.4 	184.2 	176.9 
T,THS_PER,DE	1661.3 	1663.7 	1656.5 	1643.5 	1642.2 	1660 	1689.5 b	1573.2 
T,THS_PER,DK	119.3 	122 b	125.6 b	126.1 	123.5 	125 	125.9 	123.1 
T,THS_PER,EE	37.2 	35.9 	34.2 	33.7 	28.9 	34.7 	35.5 	30.5 
T,THS_PER,EL	124.7 	120.5 	118.2 	103.9 	112.9 	121.8 	128.5 	126.8 
T,THS_PER,ES	677.7 	671.6 	634.3 	607.4 	583.4 	552.5 	551.5 	563.3 
T,THS_PER,EU28	8736.1 	8658.7 	8405.9 	8259.3 	8165.5 	8096.9 	8114.2 	7852.4 
T,THS_PER,FI	125.7 	115.5 	116.8 	123.3 	118.5 	118.9 	124.8 	128.9 
T,THS_PER,FR	965.7 	939.4 	889.1 	848.5 	884.6 b	894.9 b	863.2 	884.8 
T,THS_PER,HR	54.2 	57.5 	48.7 	53.7 	59.3 	52.3 	57.6 	58.1 
T,THS_PER,HU	150.1 	147.1 	157.1 	155.5 	149.9 	151.2 	143.1 	139.9 
T,THS_PER,IE	77 	77.3 b	80.5 	76.2 	75.6 	72.6 	66.1 	67.5 
T,THS_PER,IS	10.8 	11.2 	11.9 	11 	10.1 	10 	9.1 	9 
T,THS_PER,IT	830.7 	825.5 b	765.9 	785.7 	781.4 	784.3 	812.7 	783.1 
T,THS_PER,LT	55.5 	49.8 	48.9 	53.3 	53.1 	49.1 	47.5 	45.6 
T,THS_PER,LU	14.9 	12.4 	13.2 	12.9 b	14.7 	12.4 	12.6 	11.8 
T,THS_PER,LV	32 	36 	40.1 	36.2 	34.7 	34.7 	31.6 	29.1 
T,THS_PER,ME	9.5 	8.2 	7.3 	7.3 	8.9 	9.3 	7.2 	7.9 
T,THS_PER,MK	23.2 	23.9 	22.9 	21.1 	22 	23 	26.1 	24.9 
T,THS_PER,MT	12.1 	10.6 	8.9 	9 	8.5 	7.6 	7.1 	6.5 
T,THS_PER,NL	408.4 	390.2 	378.3 	382.6 	381.2 	386.1 b	376.1 	366.1 
T,THS_PER,NO	101.4 	102.2 	102.5 	102.5 	105.5 	113.9 	119.3 	113.1 
T,THS_PER,PL	586 	569.2 	544.4 	530.5 	508.2 	492.6 	497.6 	493.1 
T,THS_PER,PT	158.1 	145.6 	139.4 	142.3 	135.8 	127.6 	128.9 	133.7 
T,THS_PER,RO	141 	141.1 	133.7 	126.1 	130.5 	116.3 	131.9 	117.2 
T,THS_PER,RS	85.5 	86.9 	84.1 	82.7 b	92.3 b	82.2 	41.3 	46.8 
T,THS_PER,SE	234.9 	242.5 	243.1 	229.6 	224.5 	225 	223 	219.6 
T,THS_PER,SI	46.5 	45.4 	42.3 	41.6 	42.8 	44.9 	42.8 	40.6 
T,THS_PER,SK	71.6 	72.6 	62.1 	60.9 	62 	52.3 	59.4 	60.4 
T,THS_PER,TR	659.2 	644.7 	607 	591.7 	591.2 b	566 	517.5 	522.2 
T,THS_PER,UK	1471.2 	1491.9 	1467.3 	1448.1 	1381.1 	1354.6 	1338 	1261.2 
